date,sales,price,customer_segment
2023-01-01,152,95.45685612918778,1
2023-01-02,485,23.236613283613416,2
2023-01-03,398,93.3928862645345,4
2023-01-04,320,54.29046637715844,1
2023-01-05,156,33.24199494690625,3
2023-01-06,121,51.322218061443515,3
2023-01-07,238,98.20293177569293,4
2023-01-08,70,54.33562845935826,3
2023-01-09,152,39.587644925875736,4
2023-01-10,171,67.00607688850532,3
2023-01-11,264,31.613105690037376,2
2023-01-12,380,16.827699529779753,1
2023-01-13,137,21.59917497195843,2
2023-01-14,422,21.524125506199518,1
2023-01-15,149,23.67124241610649,1
2023-01-16,409,22.49444553844691,1
2023-01-17,201,67.67872703228932,2
2023-01-18,180,26.369207595923033,1
2023-01-19,199,41.11005549914769,2
2023-01-20,358,90.71095689154106,4
2023-01-21,307,52.65654762365851,3
2023-01-22,393,70.08019646689245,3
2023-01-23,463,25.508788408146685,1
2023-01-24,343,27.30601169278037,2
2023-01-25,435,13.678175463983099,3
2023-01-26,241,25.204155676494807,2
2023-01-27,493,35.073130512876276,2
2023-01-28,326,25.93094358490721,1
2023-01-29,210,17.983228038135003,3
2023-01-30,363,20.857228399054073,1
2023-01-31,71,51.47008912294532,1
2023-02-01,302,28.570034656521326,3
2023-02-02,285,42.78428749432679,3
2023-02-03,394,55.30755437693712,4
2023-02-04,98,72.13553457664287,4
2023-02-05,108,13.538092585698905,2
2023-02-06,219,81.94693590181384,3
2023-02-07,237,66.51103505418169,4
2023-02-08,320,17.35831287539847,2
2023-02-09,239,88.62207616960995,2
2023-02-10,495,92.87851604786319,2
2023-02-11,224,15.497016386937737,4
2023-02-12,495,34.918988333248336,3
2023-02-13,100,82.55811518137551,1
2023-02-14,413,77.34337213452925,2
2023-02-15,104,26.60689174207396,4
2023-02-16,293,28.841439100303926,4
2023-02-17,369,43.34248925122438,1
2023-02-18,180,53.60706866719192,1
2023-02-19,356,65.64292943772664,4
2023-02-20,184,43.202227561279514,3
2023-02-21,70,51.62812445198331,1
2023-02-22,378,77.2723844320381,4
2023-02-23,216,13.30148826015381,1
2023-02-24,323,32.719324990961866,3
2023-02-25,437,74.20146272960972,2
2023-02-26,138,90.56861539184794,1
2023-02-27,365,56.05096979040995,3
2023-02-28,63,57.89021367387841,4
2023-03-01,291,19.645481020579844,1
2023-03-02,314,50.26711301411092,1
2023-03-03,395,57.935553980952086,4
2023-03-04,102,31.82234532712567,2
2023-03-05,435,34.231890785444286,4
2023-03-06,389,43.95557467941604,1
2023-03-07,141,11.806407799995373,4
2023-03-08,416,38.987124902486045,3
2023-03-09,493,29.03032062968902,4
2023-03-10,477,39.47476169601232,1
2023-03-11,313,20.778591863732608,4
2023-03-12,480,90.14745526659054,2
2023-03-13,84,63.42332081986438,4
2023-03-14,255,71.11920872300406,2
2023-03-15,130,81.02541147466044,3
2023-03-16,469,54.85979790361515,2
2023-03-17,99,17.82282592786813,4
2023-03-18,409,58.3395887636693,1
2023-03-19,437,62.815700621879124,2
2023-03-20,51,77.0895526765897,3
2023-03-21,439,48.84935916067114,2
2023-03-22,103,21.48222725160074,2
2023-03-23,155,35.539831521885205,2
2023-03-24,309,42.67740667587716,3
2023-03-25,359,68.13255171984412,4
2023-03-26,240,61.37004742020207,2
2023-03-27,451,42.048705330806165,2
2023-03-28,267,98.78637239136818,1
2023-03-29,93,64.51973374211985,3
2023-03-30,211,31.350411256239504,2
2023-03-31,251,19.160422535836336,3
2023-04-01,495,23.75732252658988,2
2023-04-02,319,32.136195554605735,4
2023-04-03,400,24.46132359336001,4
2023-04-04,353,26.79103216461752,2
2023-04-05,320,35.65856518244624,4
2023-04-06,264,25.603623576527934,2
2023-04-07,301,90.70888821637827,4
2023-04-08,239,17.2210371095478,1
2023-04-09,345,57.20602506132292,1
2023-04-10,262,46.935714429069535,1
2023-04-11,257,98.41407552177458,3
2023-04-12,286,20.08350119512471,3
2023-04-13,387,45.80700391411675,1
2023-04-14,416,97.2523389947832,3
2023-04-15,102,87.89564133045822,4
2023-04-16,329,83.5364863854352,2
2023-04-17,459,33.211254434044584,2
2023-04-18,266,25.379882865105923,2
2023-04-19,301,70.17788979319879,1
2023-04-20,237,93.64383902148272,3
2023-04-21,429,60.10866037125368,4
2023-04-22,90,61.44514205229099,4
2023-04-23,206,35.19811842942558,1
2023-04-24,64,79.25436398727432,4
2023-04-25,350,26.833937370177104,4
2023-04-26,114,39.131131276381936,4
2023-04-27,394,48.28927947547751,4
2023-04-28,376,55.68493408160095,3
2023-04-29,58,31.816875917357223,4
2023-04-30,393,20.335314226528318,2
2023-05-01,178,64.95580381974693,1
2023-05-02,185,35.97674979162302,3
2023-05-03,112,62.31143992803511,4
2023-05-04,188,23.892644374678206,3
2023-05-05,130,53.30260916693357,4
2023-05-06,441,57.93304892964273,2
2023-05-07,212,14.664118314018422,1
2023-05-08,468,40.294385037452855,4
2023-05-09,338,22.09732092450768,4
2023-05-10,428,15.703747342549097,4
2023-05-11,310,99.09642091509507,4
2023-05-12,280,39.01184604772507,1
2023-05-13,90,82.88870012691714,1
2023-05-14,77,32.917658928738746,2
2023-05-15,184,71.33524500015363,1
2023-05-16,250,78.42050739007179,4
2023-05-17,377,63.60748665470599,2
2023-05-18,317,52.441856969514255,2
2023-05-19,467,47.06568227325417,2
2023-05-20,82,41.39814398886958,4
2023-05-21,97,93.65762298230433,3
2023-05-22,456,84.75574670089563,4
2023-05-23,111,96.85242195998613,1
2023-05-24,265,21.186750113699027,1
2023-05-25,342,75.77807276832799,4
2023-05-26,148,94.45064111389341,4
2023-05-27,221,26.310975954909413,2
2023-05-28,409,15.984664063009975,4
2023-05-29,263,76.70085843610532,2
2023-05-30,84,61.70258018619207,1
2023-05-31,498,85.76458990824449,2
2023-06-01,276,22.579513896366056,4
2023-06-02,150,81.57405806739011,1
2023-06-03,480,28.14645880429701,3
2023-06-04,180,24.729034857913405,2
2023-06-05,306,24.783921813789362,1
2023-06-06,54,83.3117248208244,2
2023-06-07,267,69.867749862658,1
2023-06-08,304,57.07588822922074,1
2023-06-09,447,42.29474357111523,2
2023-06-10,408,88.94804867317974,3
2023-06-11,332,45.32005966803718,1
2023-06-12,442,83.49394955244193,1
2023-06-13,256,49.52214177131966,1
2023-06-14,64,43.92499864824168,3
2023-06-15,395,51.64118071026458,3
2023-06-16,91,37.12400867477279,4
2023-06-17,429,77.2848442158626,2
2023-06-18,228,55.24483510832312,3
2023-06-19,112,30.89914256321356,2
2023-06-20,401,90.96171159471116,4
2023-06-21,280,44.55020992358903,2
2023-06-22,290,58.919757500258974,3
2023-06-23,101,91.58248998680922,2
2023-06-24,145,66.18141963225929,3
2023-06-25,437,20.520823663752765,2
2023-06-26,271,94.58489112521276,3
2023-06-27,456,66.4937247764276,3
2023-06-28,280,40.14150531913775,2
2023-06-29,286,22.53448653970485,4
2023-06-30,192,81.46226703432664,1
2023-07-01,220,65.80654803356622,4
2023-07-02,78,58.01149827786894,2
2023-07-03,85,90.45033247458619,4
2023-07-04,62,80.97374901020777,3
2023-07-05,209,23.650739175947606,1
2023-07-06,376,38.05498610159934,2
2023-07-07,236,32.36402258330192,2
2023-07-08,292,76.95516633154092,2
2023-07-09,135,13.017919126220145,1
2023-07-10,333,61.29007163841849,3
2023-07-11,115,78.62128171666215,2
2023-07-12,219,88.90890730855745,4
2023-07-13,94,40.78735738443167,2
2023-07-14,111,83.91315742048116,2
2023-07-15,490,19.95685632596865,2
2023-07-16,183,86.18070625610663,2
2023-07-17,333,21.47397960987842,3
2023-07-18,77,45.755856150433054,4
2023-07-19,157,81.75658292015983,3
2023-07-20,93,23.492568461389638,4
2023-07-21,389,30.632625570937734,2
2023-07-22,335,75.00273115537597,1
2023-07-23,495,74.80328828914669,3
2023-07-24,380,67.70328695967676,1
2023-07-25,177,72.455360002039,3
2023-07-26,397,58.84519990128366,2
2023-07-27,280,32.66191530162575,3
2023-07-28,239,41.112639415352746,2
2023-07-29,274,26.34379451212831,3
2023-07-30,434,91.76055052002656,2
2023-07-31,426,62.50526152895084,2
2023-08-01,332,46.07662750872759,4
2023-08-02,495,51.58052232797194,2
2023-08-03,170,95.25550056506339,4
2023-08-04,165,23.801626280447216,2
2023-08-05,282,62.76068488151175,1
2023-08-06,308,55.52998109960194,2
2023-08-07,408,65.0308811891183,1
2023-08-08,247,11.629916543875646,1
2023-08-09,460,88.49115180497364,2
2023-08-10,186,93.89064542352511,1
2023-08-11,367,60.861986523028804,4
2023-08-12,214,72.6985741489203,3
2023-08-13,274,93.02494430595661,2
2023-08-14,356,73.65147708820587,1
2023-08-15,283,23.72851386228352,2
2023-08-16,221,61.86595241501318,4
2023-08-17,201,64.60435417445703,2
2023-08-18,364,48.17176041721474,2
2023-08-19,423,76.27998120622506,1
2023-08-20,209,94.09303132921134,4
2023-08-21,145,93.30116616160987,3
2023-08-22,282,50.57554342637189,3
2023-08-23,229,20.19142412566797,1
