Previous_Year_Price,Competitor_Price,Previous_Year_Sales,Price
87.45401188473625,65.36462217224816,419,74.55636441312996
145.07143064099162,104.6091042116194,362,135.35929788694256
123.1993941811405,141.0240419464049,419,130.7466192601426
109.86584841970367,125.54473750505173,469,119.53092002229275
65.60186404424365,133.72172626475947,831,104.51650181138587
65.59945203362027,117.46617033817891,599,99.54407731393414
55.80836121681995,121.15042209696377,381,84.76936097860366
136.6176145774935,138.41152167218513,817,135.4247506056461
110.11150117432088,72.46348097451045,928,97.66045045088325
120.80725777960456,98.83674600074545,404,113.87231341043847
52.05844942958024,69.33303860015624,781,66.07162369321053
146.99098521619942,153.64348087963117,755,143.47371033011694
133.24426408004217,148.84652736552746,427,148.7853944924049
71.23391106782762,49.336949250535646,895,56.4783924427576
68.18249672071006,122.61326897672573,818,96.35934773942738
68.34045098534338,146.77731491572325,795,106.81776856257447
80.42422429595376,64.86328796400669,449,68.25134194723988
102.4756431632238,107.47397536078924,640,97.9121304449015
93.19450186421157,145.7037127346846,732,110.7298667162836
79.1229140198042,48.734057644437875,395,64.52357786239091
111.18528947223794,121.71622939715239,889,108.82416398352788
63.94938606520418,77.70839081098057,718,65.15981046265796
79.21446485352182,146.68358149141835,269,111.85884378147898
86.63618432936917,151.81640696819045,838,106.0322531474803
95.6069984217036,148.86931380247773,598,126.13305467231066
128.51759613930136,97.16356383232102,871,100.79113915027715
69.96737821583598,139.82469160882448,959,104.50917295566637
101.42344384136116,137.90043383885774,402,119.73703497308091
109.24145688620425,80.10105205675812,347,97.36156307239023
54.64504127199977,136.1807021565745,671,95.20446770233768
110.75448519014384,49.07083981870419,854,90.00220232359021
67.05241236872915,110.58968663302583,398,89.90263390871999
56.50515929852795,70.30097210164733,625,68.67112769630594
144.88855372533334,58.26235743550067,865,97.95814153606555
146.56320330745592,53.46485217921301,691,100.6178117742818
130.8397348116461,121.59176534659537,341,133.95360055426536
80.46137691733708,82.38624601448728,512,80.23533584246398
59.76721140063839,124.72434486816375,364,93.20695195537722
118.42330265121569,52.18919748788366,513,90.21051731523706
94.01524937396013,79.68193716136713,220,83.13744566670546
62.20382348447788,104.34404216128709,281,72.46613115628652
99.51769101112703,131.97954813228597,780,117.02648784026835
53.43885211152184,80.0627753225277,330,71.69415956381478
140.9320402078782,113.848051408071,798,120.63281698351474
75.8779981600017,142.45755230598058,929,112.51887471937783
116.2522284353982,112.74495070005351,504,117.88342150442354
81.1711076089411,70.62554222289971,570,64.53084362034387
102.00680211778108,47.68408597121918,583,70.16400088246627
104.67102793432797,140.7108761291023,644,120.71180812805683
68.4854455525527,47.339635193542584,624,57.01442037187146
146.95846277645586,141.21718399526193,360,140.37215206201896
127.51328233611146,103.18308474299332,377,111.36316952164148
143.9498941564189,148.29744683641857,828,154.4810849523292
139.4827350427649,132.8661559351032,907,135.6366498296395
109.78999788110852,154.77275215866712,689,128.80615671913912
142.18742350231167,83.57829969968812,526,112.67701421643714
58.84925020519195,129.39071178242398,797,96.80543515911367
69.59828624191452,89.21240049701663,488,79.66347525302163
54.52272889105381,97.78631823342997,792,75.12588560810202
82.53303307632643,114.0256009540207,863,95.0292336718213
88.8677289689482,141.10448256049727,772,111.67545153738475
77.13490317738959,153.24918161192247,772,112.20300046222923
132.87375091519294,129.51007552509702,553,132.88598622419866
85.67533266935894,90.95434603840671,227,83.34393889187389
78.09345096873807,91.34927025047773,242,86.68770672695901
104.26960831582485,126.13405317477806,880,122.26680452343561
64.09242249747626,71.26548603451326,622,69.30749105506077
130.21969807540398,57.152152444453414,797,91.83799761534301
57.45506436797708,84.00843734048541,376,64.2411164289581
148.68869366005174,76.596289081949,728,120.53302541055794
127.22447692966574,77.59389325015891,809,96.55909683691776
69.87156815341724,70.69685261549009,693,74.52702055683241
50.55221171236024,49.630250859999805,397,53.28382058915245
131.54614284548342,46.96613282067552,809,88.07229481825917
120.68573438476172,153.64946287096348,776,135.8527046089592
122.90071680409874,92.05504471094486,716,98.2993243873167
127.12703466859458,87.27593118756499,713,108.85180793214289
57.40446517340904,119.76120109623768,221,91.68246479680238
85.84657285442725,69.00792766515706,311,71.98184967905313
61.58690595251297,149.49573023452479,256,104.76221072187337
136.31034258755935,131.49795158571072,265,134.09345666167977
112.3298126827558,54.835210254348546,297,86.50537460830002
83.08980248526493,90.93388533634212,343,87.03085929141946
